id,province,city,first_year_electricity,coal_rate
1,重庆,重庆,0.47385,0.3964
2,浙江省,杭州,0.9477,0.4153
3,浙江省,宁波,1.10565,0.4153
4,浙江省,温州,0.9477,0.4153
5,浙江省,嘉兴,1.00035,0.4153
6,浙江省,湖州,1.00035,0.4153
7,浙江省,绍兴,0.9477,0.4153
8,浙江省,金华,0.9477,0.4153
9,浙江省,衢州,0.9477,0.4153
10,浙江省,舟山,1.10565,0.4153
11,浙江省,台州,0.9477,0.4153
12,浙江省,丽水,0.9477,0.4153
13,云南省,昆明,1.10565,0.3358
14,云南省,曲靖,1.10565,0.3358
15,云南省,玉溪,1.10565,0.3358
16,云南省,丽江,1.42155,0.3358
17,云南省,楚雄州,1.1583,0.3358
18,云南省,红河州,1.10565,0.3358
19,云南省,文山州,1.10565,0.3358
20,云南省,大理州,1.21095,0.3358
21,云南省,德宏州,1.21095,0.3358
22,云南省,怒江州,1.2636,0.3358
23,云南省,迪庆州,1.2636,0.3358
24,新疆省,乌鲁木齐,1.52685,0.25
25,新疆省,克拉玛依,1.4742,0.25
26,新疆省,昌吉州,1.52685,0.25
27,新疆省,博尔塔拉州,1.3689,0.25
28,新疆省,巴音郭楞州,1.4742,0.25
29,新疆省,伊犁州,1.4742,0.25
30,西藏省,拉萨,1.52685,0.4993
31,西藏省,山南,1.4742,0.4993
32,西藏省,日喀则,1.63215,0.4993
33,西藏省,阿里,1.84275,0.4993
34,天津,天津,1.2636,0.3655
35,四川省,成都,0.57915,0.4012
36,四川省,自贡,0.5265,0.4012
37,四川省,攀枝花,1.31625,0.4012
38,四川省,泸州,0.5265,0.4012
39,四川省,德阳,0.57915,0.4012
40,四川省,绵阳,0.57915,0.4012
41,四川省,广元,0.7371,0.4012
42,四川省,遂宁,0.5265,0.4012
43,四川省,内江,0.5265,0.4012
44,四川省,乐山,0.57915,0.4012
45,四川省,南充,0.57915,0.4012
46,四川省,眉山,0.57915,0.4012
47,四川省,宜宾,0.57915,0.4012
48,四川省,广安,0.57915,0.4012
49,四川省,达州,0.68445,0.4012
50,四川省,雅安,0.6318,0.4012
51,四川省,资阳,0.5265,0.4012
52,四川省,阿坝州,1.10565,0.4012
53,四川省,甘孜州,0.9477,0.4012
54,四川省,凉山州,1.10565,0.4012
55,上海,上海,1.00035,0.4155
56,陕西省,西安,1.00035,0.3545
57,陕西省,铜川,1.10565,0.3545
58,陕西省,宝鸡,0.9477,0.3545
59,陕西省,咸阳,0.9477,0.3545
60,陕西省,渭南,1.10565,0.3545
61,陕西省,延安,1.31625,0.3545
62,陕西省,汉中,0.8424,0.3545
63,陕西省,榆林,1.42155,0.3545
64,陕西省,安康,0.89505,0.3545
65,陕西省,商洛,1.10565,0.3545
66,山西省,太原,1.31625,0.332
67,山西省,大同,1.4742,0.332
68,山西省,阳泉,1.31625,0.332
69,山西省,长治,1.21095,0.332
70,山西省,晋城,1.1583,0.332
71,山西省,朔州,1.42155,0.332
72,山西省,晋中,1.31625,0.332
73,山西省,运城,1.1583,0.332
74,山西省,忻州,1.3689,0.332
75,山西省,临汾,1.21095,0.332
76,山西省,吕梁,1.31625,0.332
77,山东省,济南,1.31625,0.3949
78,山东省,青岛,1.42155,0.3949
79,山东省,淄博,1.3689,0.3949
80,山东省,枣庄,1.21095,0.3949
81,山东省,东营,1.42155,0.3949
82,山东省,烟台,1.42155,0.3949
83,山东省,潍坊,1.3689,0.3949
84,山东省,济宁,1.2636,0.3949
85,山东省,泰安,1.31625,0.3949
86,山东省,威海,1.42155,0.3949
87,山东省,日照,1.2636,0.3949
88,山东省,莱芜,1.31625,0.3949
89,山东省,临沂,1.21095,0.3949
90,山东省,德州,1.31625,0.3949
91,山东省,聊城,1.2636,0.3949
92,山东省,滨州,1.42155,0.3949
93,山东省,菏泽,1.21095,0.3949
94,青海省,西宁,1.42155,0.3247
95,青海省,海北州,1.42155,0.3247
96,青海省,黄南州,1.31625,0.3247
97,青海省,海南州,1.42155,0.3247
98,青海省,果洛州,1.3689,0.3247
99,青海省,海西州,1.63215,0.3247
100,宁夏省,银川,1.5795,0.2595
101,宁夏省,石嘴山,1.5795,0.2595
102,宁夏省,吴忠,1.52685,0.2595
103,宁夏省,固原,1.31625,0.2595
104,宁夏省,中卫,1.52685,0.2595
105,蒙西,呼和浩特,1.52685,0.2829
106,蒙西,包头,1.42155,0.2829
107,蒙西,乌海,1.63215,0.2829
108,蒙西,鄂尔多斯,1.3689,0.2829
109,蒙西,巴彦淖尔,1.63215,0.2829
110,蒙西,乌兰察布,1.52685,0.2829
111,蒙西,锡林郭勒盟,1.5795,0.2829
112,蒙西,阿拉善盟,1.5795,0.2829
113,蒙东,赤峰,1.4742,0.3035
114,蒙东,通辽,1.42155,0.3035
115,蒙东,呼伦贝尔,1.42155,0.3035
116,蒙东,兴安盟,1.4742,0.3035
117,辽宁省,沈阳,1.3689,0.3749
118,辽宁省,大连,1.24,0.3749
119,辽宁省,鞍山,1.3689,0.3749
120,辽宁省,抚顺,1.31625,0.3749
121,辽宁省,本溪,1.31625,0.3749
122,辽宁省,丹东,1.10565,0.3749
123,辽宁省,锦州,1.31625,0.3749
124,辽宁省,营口,1.3689,0.3749
125,辽宁省,阜新,1.42155,0.3749
126,辽宁省,辽阳,1.31625,0.3749
127,辽宁省,盘锦,1.3689,0.3749
128,辽宁省,铁岭,1.31625,0.3749
129,辽宁省,朝阳,1.42155,0.3749
130,辽宁省,葫芦岛,1.31625,0.3749
131,江西省,南昌,0.8424,0.4143
132,江西省,景德镇,0.9477,0.4143
133,江西省,萍乡,0.78975,0.4143
134,江西省,九江,0.89505,0.4143
135,江西省,新余,0.8424,0.4143
136,江西省,鹰潭,0.89505,0.4143
137,江西省,赣州,0.8424,0.4143
